,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant
69,69,26,85,132,existing,2534.4613407822994,69,26,85,73,existing,1263.223590628768,69,26,85,20,allocated,814.4938600308361,69,28,85,131,existing,2364.963168873777,69,27,85,131,existing,2364.963168873777
70,70,26,86,132,existing,825.9680188414903,70,26,86,121,existing,538.0841369881471,70,26,86,9,allocated,328.4428921293065,70,28,86,131,existing,688.3848100934368,70,27,86,131,existing,688.3848100934368
71,71,26,87,132,existing,877.9435705456817,71,26,87,121,existing,590.0596886923383,71,26,87,9,allocated,380.4184438334978,71,28,87,131,existing,740.3603617976282,71,27,87,131,existing,740.3603617976282
72,72,26,88,132,existing,1608.6162044807834,72,26,88,73,existing,120.2074830856501,72,26,88,73,allocated,120.2074830856501,72,28,88,131,existing,1439.1180325722607,72,27,88,131,existing,1439.1180325722607
73,73,26,89,132,existing,1467.2983220252604,73,26,89,73,existing,162.20648856495905,73,26,89,54,allocated,43.34964186133599,73,28,89,131,existing,1587.7311226177499,73,27,89,131,existing,1587.7311226177499
74,74,26,90,132,existing,2157.776365605353,74,26,90,121,existing,1194.8812733360032,74,26,90,196,allocated,939.7322681235419,74,28,90,131,existing,1988.2781936968304,74,27,90,131,existing,1988.2781936968304
75,75,26,91,132,existing,2029.8868591738747,75,26,91,121,existing,1066.9917669045253,75,26,91,196,allocated,811.842761692064,75,28,91,131,existing,1860.388687265352,75,27,91,131,existing,1860.388687265352
76,76,26,92,132,existing,1584.7420515146187,76,26,92,121,existing,1289.15778214612,76,26,92,93,allocated,68.49651923677645,76,28,92,131,existing,1415.243879606096,76,27,92,131,existing,1415.243879606096
77,77,26,93,132,existing,1653.2385707513952,77,26,93,121,existing,1357.6543013828964,77,26,93,93,allocated,0.0,77,28,93,131,existing,1483.7403988428728,77,27,93,131,existing,1483.7403988428728
78,78,26,94,132,existing,1725.0318328981227,78,26,94,121,existing,1429.4475635296242,78,26,94,94,allocated,0.0,78,28,94,131,existing,1555.5336609896003,78,27,94,131,existing,1555.5336609896003
79,79,26,95,132,existing,2021.8706173193102,79,26,95,121,existing,1348.4840097991787,79,26,95,93,allocated,531.8036637328694,79,28,95,131,existing,1852.3724454107878,79,27,95,131,existing,1852.3724454107878
80,80,26,96,132,existing,1749.7029040314765,80,26,96,121,existing,1098.0183509378608,80,26,96,93,allocated,259.6359504450357,80,28,96,131,existing,1580.2047321229538,80,27,96,131,existing,1580.2047321229538
81,81,26,97,132,existing,1779.8545464999747,81,26,97,121,existing,1048.5909456163874,81,26,97,189,allocated,477.1360547453402,81,28,97,131,existing,1610.356374591452,81,27,97,131,existing,1610.356374591452
82,82,26,98,132,existing,1705.7785464460305,82,26,98,121,existing,974.5149455624432,82,26,98,189,allocated,403.060054691396,82,28,98,131,existing,1536.2803745375081,82,27,98,131,existing,1536.2803745375081
83,83,26,99,132,existing,2113.1675863605565,83,26,99,73,existing,658.1188512883868,83,26,99,20,allocated,209.3891206904549,83,28,99,131,existing,1943.6694144520336,83,27,99,131,existing,1943.6694144520336
84,84,26,100,132,existing,1412.590600579077,84,26,100,73,existing,1067.6214091981983,84,26,100,191,allocated,336.56573893498927,84,28,100,131,existing,1533.0234011715665,84,27,100,131,existing,1533.0234011715665
85,85,26,105,132,existing,1459.6036161530847,85,26,105,121,existing,686.830587069943,85,26,105,189,allocated,333.93872173999586,85,28,105,131,existing,1290.105444244562,85,27,105,131,existing,1290.105444244562
86,86,26,106,132,existing,1356.3845656953827,86,26,106,121,existing,631.345539094834,86,26,106,189,allocated,230.71967128229397,86,28,106,131,existing,1186.88639378686,86,27,106,131,existing,1186.88639378686
87,87,26,107,132,existing,1678.541108044205,87,26,107,73,existing,190.13238664907163,87,26,107,73,allocated,190.13238664907163,87,28,107,131,existing,1509.0429361356823,87,27,107,131,existing,1509.0429361356823
88,88,26,110,132,existing,424.70193447260164,88,26,110,121,existing,1076.258880789216,88,26,110,110,allocated,0.0,88,28,110,131,existing,255.20376256407906,88,27,110,131,existing,255.20376256407906
89,89,26,111,132,existing,1554.6646477461884,89,26,111,121,existing,591.7695554768392,89,26,111,196,allocated,336.6205502643777,89,28,111,131,existing,1385.166475837666,89,27,111,131,existing,1385.166475837666
90,90,26,112,132,existing,2579.7107797731924,90,26,112,73,existing,1091.302058378059,90,26,112,20,allocated,642.5723277801271,90,28,112,131,existing,2410.2126078646697,90,27,112,131,existing,2410.2126078646697
91,91,26,116,132,existing,498.62165759898454,91,26,116,121,existing,743.7644873288775,91,26,116,116,allocated,0.0,91,28,116,131,existing,329.12348569046196,91,27,116,131,existing,329.12348569046196
