,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant
32,32,47,126,154,allocated,154.490841924529,32,47,126,130,allocated,623.8682979479905,32,47,126,81,allocated,114.48075980204018,32,39,126,130,allocated,623.8682979479905,32,40,126,131,allocated,815.4478127972102,32,55,126,183,allocated,977.0046836303279,32,76,126,41,existing,897.3053665421559,32,75,126,136,existing,1401.9975472134115,32,74,126,170,existing,1248.3945305765992,32,72,126,160,existing,1281.591413812284,32,73,126,159,existing,1236.4576083873671
33,33,47,127,154,allocated,225.12590104441077,33,47,127,130,allocated,261.5529746217708,33,47,127,127,allocated,0.0,33,39,127,130,allocated,261.5529746217708,33,40,127,131,allocated,453.1324894709903,33,73,127,159,existing,874.1422850611472,33,76,127,41,existing,517.6886235732161,33,55,127,183,allocated,961.8189107592893,33,75,127,136,existing,1039.659994356411,33,74,127,170,existing,886.0792072503791,33,72,127,160,existing,919.276090486064
34,34,47,130,154,allocated,469.37745602346155,34,47,130,130,allocated,0.0,34,47,130,130,existing,0.0,34,39,130,130,allocated,0.0,34,40,130,131,allocated,191.57951484921955,34,73,130,159,existing,612.5893104393764,34,76,130,41,existing,300.6813042387187,34,55,130,183,allocated,1060.3281904891178,34,72,130,160,existing,657.7231158642933,34,74,130,170,existing,624.5262326286083,34,75,130,136,existing,778.1292492654212
35,35,71,131,170,existing,432.9467177793889,35,71,131,130,allocated,191.57951484921955,35,71,131,131,allocated,0.0,35,40,131,131,allocated,0.0,35,39,131,130,allocated,191.57951484921955,35,74,131,170,existing,432.9467177793889,35,73,131,159,existing,421.00979559015684,35,72,131,160,existing,466.1436010150737,35,75,131,136,existing,589.4645799278953,35,76,131,41,existing,492.2608190879383,35,55,131,183,allocated,868.7486756398982
36,36,9,134,48,allocated,397.4283712402713,36,9,134,54,existing,108.70675394772373,36,9,134,134,allocated,0.0,36,55,134,183,allocated,517.6982558776066,36,72,134,160,existing,622.6621160635635,36,74,134,170,existing,688.0723371173455,36,73,134,159,existing,667.7959214884804,36,75,134,136,existing,844.5901992658519,36,76,134,41,existing,1329.1551005151564,36,39,134,130,allocated,1028.4737962764375,36,40,134,131,allocated,836.8942814272181
37,37,68,137,226,existing,183.35792232195325,37,68,137,143,existing,78.3108505582616,37,68,137,137,allocated,0.0,37,75,137,136,existing,479.3299173191698,37,74,137,170,existing,635.8477794676762,37,72,137,160,existing,701.2580005214581,37,73,137,159,existing,656.1241950965413,37,39,137,130,allocated,1257.459166584591,37,76,137,41,existing,1516.4169736405654,37,55,137,183,allocated,937.4594299610318,37,40,137,131,allocated,1068.7944972470652
38,38,47,138,154,allocated,552.1745700046965,38,47,138,138,allocated,0.0,38,47,138,138,allocated,0.0,38,39,138,130,allocated,703.7351415855156,38,40,138,131,allocated,895.3146564347352,38,76,138,41,existing,959.8707905369611,38,55,138,183,allocated,1288.8675797195751,38,72,138,160,existing,1361.458257449809,38,74,138,170,existing,1328.2613742141239,38,75,138,136,existing,1481.842161320156,38,73,138,159,existing,1316.324452024892
39,39,9,142,48,allocated,435.0861048774332,39,9,142,130,allocated,332.6022900307653,39,9,142,175,allocated,138.84971513352798,39,40,142,131,allocated,141.02277518154574,39,39,142,130,allocated,332.6022900307653,39,73,142,159,existing,509.83816963637923,39,74,142,170,existing,530.1145852652443,39,55,142,183,allocated,727.7259004583525,39,75,142,136,existing,686.6324474137507,39,72,142,160,existing,554.9719750612961,39,76,142,41,existing,633.283594269484
40,40,47,145,154,allocated,264.24153695784935,40,47,145,130,allocated,647.7981609903907,40,47,145,154,allocated,264.24153695784935,40,55,145,183,allocated,622.1949608541695,40,39,145,130,allocated,647.7981609903907,40,76,145,41,existing,921.235229584556,40,40,145,131,allocated,839.3776758396102,40,75,145,136,existing,1425.9274102558118,40,73,145,159,existing,1260.3874714297672,40,74,145,170,existing,1272.3243936189992,40,72,145,160,existing,1305.5212768546842
41,41,47,146,154,allocated,317.51178959461447,41,47,146,185,allocated,631.31164852385,41,47,146,154,allocated,317.51178959461447,41,55,146,183,allocated,568.9247082174044,41,39,146,130,allocated,701.0684136271557,41,40,146,131,allocated,892.6479284763755,41,76,146,41,existing,974.505482221321,41,73,146,159,existing,1313.6577240665322,41,74,146,170,existing,1325.5946462557642,41,75,146,136,existing,1479.1976628925768,41,72,146,160,existing,1358.7915294914492
42,42,47,148,154,allocated,371.68006813359136,42,47,148,185,allocated,577.1433699848731,42,47,148,154,allocated,371.68006813359136,42,55,148,183,allocated,514.7564296784275,42,39,148,130,allocated,755.2366921661326,42,76,148,41,existing,1028.673760760298,42,40,148,131,allocated,946.8162070153522,42,75,148,136,existing,1533.3659414315537,42,74,148,170,existing,1379.7629247947411,42,73,148,159,existing,1367.826002605509,42,72,148,160,existing,1412.959808030426
43,43,9,151,48,allocated,422.4104146038119,43,9,151,185,allocated,107.7109475994194,43,9,151,151,allocated,0.0,43,55,151,183,allocated,129.7706190228925,43,40,151,131,allocated,998.5192946627908,43,73,151,159,existing,1091.6951930534829,43,72,151,160,existing,1046.5613876285659,43,76,151,41,existing,1490.780113750729,43,75,151,136,existing,1268.4894708308543,43,74,151,170,existing,1111.9716086823478,43,39,151,130,allocated,1190.0988095120103
44,44,9,152,48,allocated,437.6712515220179,44,9,152,185,allocated,82.644515634653,44,9,152,151,allocated,25.066431964766398,44,55,152,183,allocated,145.0314559410985,44,40,152,131,allocated,1013.7801315809968,44,72,152,160,existing,1061.8222245467718,44,73,152,159,existing,1106.9560299716886,44,74,152,170,existing,1127.2324456005538,44,76,152,41,existing,1506.040950668935,44,39,152,130,allocated,1205.3596464302163,44,75,152,136,existing,1283.75030774906
