,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant
32,32,20,62,75,existing,84.16608090364231,32,20,62,34,existing,331.2111012027077,32,20,62,58,allocated,91.20307400349698,32,4,62,58,allocated,91.20307400349698,32,16,62,182,allocated,176.3687068221875,32,29,62,12,existing,701.8376936151413,32,13,62,142,allocated,303.88551119278657,32,28,62,79,existing,802.834780285873,32,27,62,80,existing,882.7332428877482,32,26,62,80,existing,882.7332428877482
33,33,19,63,28,existing,175.72886706114411,33,19,63,155,existing,72.17561512190481,33,19,63,81,allocated,87.46238340320306,33,13,63,142,allocated,441.7523676108572,33,4,63,58,allocated,580.9485147948903,33,29,63,12,existing,1105.8469872315334,33,16,63,182,allocated,666.1141476135808,33,27,63,80,existing,1308.6680939965008,33,26,63,80,existing,1308.6680939965008,33,28,63,79,existing,1206.844073902265
34,34,21,65,185,existing,208.31132963226898,34,21,65,34,existing,214.20119680873236,34,21,65,58,allocated,396.2339267945284,34,4,65,58,allocated,396.2339267945284,34,16,65,182,allocated,449.85230498323625,34,13,65,142,allocated,523.6558608676046,34,29,65,12,existing,456.01890510803963,34,28,65,79,existing,557.0159917787713,34,27,65,80,existing,658.8400118730071,34,26,65,80,existing,658.8400118730071
35,35,21,66,185,existing,282.0459271778697,35,21,66,34,existing,287.9357943543331,35,21,66,141,allocated,336.81735923450566,35,16,66,182,allocated,376.11770743763554,35,29,66,12,existing,392.30167317357075,35,28,66,79,existing,493.2987598443024,35,4,66,58,allocated,461.283340256326,35,13,66,142,allocated,595.6064229438668,35,27,66,80,existing,595.1227799385382,35,26,66,80,existing,595.1227799385382
36,36,17,67,127,existing,113.46992153602282,36,17,67,127,allocated,113.46992153602282,36,17,67,127,allocated,113.46992153602282,36,13,67,142,allocated,555.141825945092,36,4,67,58,allocated,767.8242631343817,36,29,67,12,existing,1498.0607696269553,36,16,67,182,allocated,852.9898959530722,36,27,67,80,existing,1655.7122254727428,36,28,67,79,existing,1599.057856297687,36,26,67,80,existing,1655.7122254727428
37,37,17,68,127,existing,12.514183383323608,37,17,68,127,allocated,12.514183383323608,37,17,68,127,allocated,12.514183383323608,37,13,68,142,allocated,454.1860877923928,37,4,68,58,allocated,666.8685249816824,37,29,68,12,existing,1397.105031474256,37,16,68,182,allocated,752.0341578003729,37,27,68,80,existing,1554.7564873200436,37,28,68,79,existing,1498.1021181449878,37,26,68,80,existing,1554.7564873200436
38,38,10,71,121,allocated,133.32245247380078,38,10,71,127,allocated,315.3601397691683,38,10,71,142,allocated,127.96746760753845,38,13,71,142,allocated,127.96746760753845,38,4,71,58,allocated,340.6499047968281,38,16,71,182,allocated,425.81553761551856,38,29,71,12,existing,1070.8864112894018,38,26,71,80,existing,1228.5378671351891,38,27,71,80,existing,1228.5378671351891,38,28,71,79,existing,1171.8834979601336
39,39,20,72,75,existing,248.8538975499917,39,20,72,155,existing,252.24906750129477,39,20,72,142,allocated,261.6789152314672,39,13,72,142,allocated,261.6789152314672,39,4,72,58,allocated,400.8750624155003,39,16,72,182,allocated,486.0406952341908,39,29,72,12,existing,928.0061519213689,39,28,72,79,existing,1029.0032385921006,39,26,72,80,existing,1130.8272586863363,39,27,72,80,existing,1130.8272586863363
40,40,17,73,127,existing,183.4650181274447,40,17,73,127,allocated,183.4650181274447,40,17,73,73,allocated,0.0,40,13,73,142,allocated,259.86258924926204,40,4,73,58,allocated,472.54502643855164,40,16,73,182,allocated,557.7106592572422,40,29,73,12,existing,1202.7815329311254,40,27,73,80,existing,1360.432988776913,40,28,73,79,existing,1303.7786196018571,40,26,73,80,existing,1360.432988776913
41,41,20,74,75,existing,174.77180674765805,41,20,74,155,existing,298.5748234022558,41,20,74,81,allocated,313.861591683554,41,4,74,58,allocated,350.14096165479737,41,16,74,182,allocated,435.30659447348785,41,29,74,12,existing,853.9240611190352,41,13,74,142,allocated,436.0409747505622,41,26,74,80,existing,1056.7451678840025,41,28,74,79,existing,954.9211477897668,41,27,74,80,existing,1056.7451678840025
