,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
55,55,21,94,96,allocated,282.27626981102935,55,21,94,18,allocated,558.7423168433085,55,21,94,96,allocated,282.27626981102935,55,40,94,74,existing,735.6812482916929,55,16,94,74,allocated,735.6812482916929,55,17,94,81,allocated,793.9124516614065,55,17,94,81,allocated,793.9124516614065
56,56,38,99,73,existing,238.1189709286252,56,38,99,92,allocated,409.75230417890714,56,38,99,74,existing,227.98666293432325,56,16,99,74,allocated,227.98666293432325,56,40,99,74,existing,227.98666293432325,56,17,99,81,allocated,828.4994117809883,56,17,99,81,allocated,828.4994117809883
57,57,0,102,2,allocated,421.32198606931433,57,0,102,4,existing,390.9549670576823,57,0,102,2,allocated,421.32198606931433,57,16,102,74,allocated,465.4280318993691,57,40,102,74,existing,465.4280318993691,57,17,102,81,allocated,545.2259466681425,57,17,102,81,allocated,545.2259466681425
58,58,10,109,47,allocated,322.20678871246275,58,10,109,4,existing,241.40801964227467,58,10,109,47,allocated,322.20678871246275,58,17,109,81,allocated,395.6789992527348,58,17,109,81,allocated,395.6789992527348,58,40,109,74,existing,466.18757207911403,58,16,109,74,allocated,466.18757207911403
59,59,21,116,96,allocated,452.01576092077505,59,21,116,4,existing,469.9019809412005,59,21,116,96,allocated,452.01576092077505,59,16,116,74,allocated,565.9417571819472,59,40,116,74,existing,565.9417571819472,59,17,116,81,allocated,624.1729605516607,59,17,116,81,allocated,624.1729605516607
60,60,37,118,45,existing,308.75696675936206,60,37,118,68,existing,195.67294711450103,60,37,118,74,existing,345.70175973110383,60,40,118,74,existing,345.70175973110383,60,16,118,74,allocated,345.70175973110383,60,17,118,81,allocated,527.6171736365359,60,17,118,81,allocated,527.6171736365359
61,61,10,123,47,allocated,655.8358383519794,61,10,123,81,allocated,729.3080488922515,61,10,123,62,allocated,375.2225208047253,61,17,123,81,allocated,729.3080488922515,61,17,123,81,allocated,729.3080488922515,61,16,123,74,allocated,1193.9041419285738,61,40,123,74,existing,1193.9041419285738
62,62,0,124,2,allocated,556.6391461452538,62,0,124,81,allocated,869.3607628206048,62,0,124,62,allocated,515.2752347330787,62,17,124,81,allocated,869.3607628206048,62,17,124,81,allocated,869.3607628206048,62,16,124,74,allocated,1294.6017568782745,62,40,124,74,existing,1294.6017568782745
63,63,0,125,2,allocated,399.87858618434143,63,0,125,4,existing,997.5283394018506,63,0,125,2,allocated,399.87858618434143,63,17,125,81,allocated,1026.1213227815172,63,17,125,81,allocated,1026.1213227815172,63,40,125,74,existing,1137.8411969173621,63,16,125,74,allocated,1137.8411969173621
64,64,0,126,2,allocated,195.20747491626497,64,0,126,4,existing,792.8572281337742,64,0,126,2,allocated,195.20747491626497,64,40,126,74,existing,933.1700856492857,64,16,126,74,allocated,933.1700856492857,64,17,126,81,allocated,947.1282077442343,64,17,126,81,allocated,947.1282077442343
