,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
72,72,23,101,127,existing,490.43034980231397,72,23,101,105,existing,320.54216804875205,72,23,101,98,allocated,522.249153132556,72,10,101,98,allocated,522.249153132556,72,26,101,27,existing,912.8625213476039,72,9,101,85,allocated,965.8288567150286,72,21,101,220,allocated,1023.9109540999323
73,73,0,102,11,allocated,408.17633798692935,73,0,102,186,allocated,528.1607249234137,73,0,102,189,existing,390.34489700884876,73,26,102,27,existing,594.8944179434106,73,10,102,98,allocated,686.0239023414348,73,21,102,220,allocated,1342.76703458528,73,9,102,85,allocated,1007.284704910353
74,74,16,107,157,allocated,188.8944946182151,74,16,107,238,existing,177.44844298939267,74,16,107,220,allocated,181.6382212754952,74,21,107,220,allocated,181.6382212754952,74,9,107,85,allocated,546.6738516475949,74,26,107,27,existing,1368.163180483661,74,10,107,98,allocated,868.5514521509206
75,75,18,109,199,allocated,129.43920124109673,75,18,109,33,allocated,320.27930380759096,75,18,109,199,allocated,129.43920124109673,75,9,109,85,allocated,133.82795271689704,75,21,109,220,allocated,239.3694862015748,75,26,109,27,existing,955.3172815529631,75,10,109,98,allocated,577.4076562993696
76,76,25,110,242,existing,648.8229393696167,76,25,110,43,existing,449.3571773609269,76,25,110,71,allocated,411.10608022977135,76,10,110,98,allocated,537.75927396219,76,9,110,85,allocated,763.3874778520071,76,21,110,220,allocated,787.1639899879112,76,26,110,27,existing,1046.3926946440906
77,77,23,111,127,existing,512.0312037224528,77,23,111,105,existing,342.1430219688909,77,23,111,98,allocated,424.0652255427947,77,10,111,98,allocated,424.0652255427947,77,9,111,85,allocated,867.6449291252673,77,21,111,220,allocated,932.7099700820465,77,26,111,27,existing,934.4633752677428
78,78,18,112,199,allocated,177.06217870412183,78,18,112,33,allocated,195.0355624187286,78,18,112,199,allocated,177.06217870412183,78,9,112,85,allocated,195.9775773071247,78,21,112,220,allocated,389.19602319554303,78,10,112,98,allocated,452.16391491050723,78,26,112,27,existing,826.3854244624138
79,79,18,113,199,allocated,372.20611847431445,79,18,113,33,allocated,390.1795021889213,79,18,113,199,allocated,372.20611847431445,79,9,113,85,allocated,391.1215170773174,79,21,113,220,allocated,584.3399629657356,79,10,113,98,allocated,647.3078546807,79,26,113,27,existing,1021.5293642326064
80,80,18,114,199,allocated,298.8404568604154,80,18,114,66,allocated,256.66951558223684,80,18,114,137,allocated,41.05415955565445,80,21,114,220,allocated,425.3226331852976,80,9,114,85,allocated,452.96723742440315,80,26,114,27,existing,1274.4565662604691,80,10,114,98,allocated,896.5469410068757
81,81,18,115,199,allocated,211.55544609026046,81,18,115,238,existing,337.49156626563024,81,18,115,14,allocated,87.39334599505884,81,21,115,220,allocated,338.03762241514266,81,9,115,85,allocated,365.6822266542482,81,10,115,98,allocated,809.2619302367209,81,26,115,27,existing,1187.1715554903144
82,82,0,119,11,allocated,133.80124644174225,82,0,119,186,allocated,253.78563337822658,82,0,119,189,existing,115.96980546366164,82,26,119,27,existing,320.5193263982235,82,10,119,98,allocated,520.3891552829695,82,21,119,220,allocated,1097.9452437372656,82,9,119,85,allocated,732.909613365166
