,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant
34,34,31,120,134,existing,95.41962219398884,34,31,120,56,allocated,184.79725104549206,34,31,120,62,allocated,146.80055146327527,34,10,120,62,allocated,146.80055146327527,34,11,120,66,allocated,367.08439978932154,34,4,120,35,allocated,540.4650375781254,34,39,120,68,existing,399.786994514825,34,40,120,94,existing,594.0423877515407,34,38,120,90,existing,576.2819048494927
35,35,31,126,134,existing,64.37982046792791,35,31,126,56,allocated,228.68083506261928,35,31,126,62,allocated,44.659144885993214,35,10,126,62,allocated,44.659144885993214,35,11,126,66,allocated,336.04459806326065,35,4,126,35,allocated,509.4252358520644,35,39,126,68,existing,368.74719278876404,35,40,126,94,existing,563.0025860254798,35,38,126,90,existing,674.4104808116111
36,36,32,127,72,existing,150.29134873360897,36,32,127,56,allocated,77.04586958693596,36,32,127,56,allocated,77.04586958693596,36,10,127,62,allocated,202.0591913128004,36,11,127,66,allocated,469.19796493053605,36,39,127,68,existing,501.90055965603943,36,38,127,90,existing,526.6875098879956,36,40,127,94,existing,696.1559528927551,36,4,127,35,allocated,642.5786027193399
37,37,1,128,3,allocated,191.6717895723525,37,1,128,153,allocated,261.5481250986967,37,1,128,194,allocated,76.31167419986694,37,4,128,35,allocated,277.3063184692128,37,10,128,62,allocated,546.4721940882048,37,40,128,94,existing,609.4871554653141,37,11,128,66,allocated,573.4152257404289,37,38,128,90,existing,1093.7212590120043,37,39,128,68,existing,762.3177462644223
38,38,1,130,3,allocated,166.79353678843836,38,1,130,153,allocated,236.66987231478257,38,1,130,194,allocated,26.220217860832832,38,4,130,35,allocated,252.42806568529863,38,10,130,62,allocated,521.5939413042906,38,40,130,94,existing,584.6089026814,38,11,130,66,allocated,548.5369729565148,38,38,130,90,existing,1068.8430062280902,38,39,130,68,existing,737.4394934805082
39,39,37,132,131,existing,71.10359770127997,39,37,132,0,allocated,421.259544239634,39,37,132,132,allocated,0.0,39,40,132,94,existing,415.4718064106677,39,4,132,35,allocated,422.02655924892184,39,11,132,66,allocated,642.3187525975195,39,39,132,68,existing,628.3275808678936,39,10,132,62,allocated,970.8764430688059,39,38,132,90,existing,803.4005282665794
40,40,32,137,72,existing,152.7048956771301,40,32,137,56,allocated,309.09662310020906,40,32,137,70,existing,134.47474493327212,40,38,137,90,existing,223.69126547725648,40,39,137,68,existing,385.8726982348385,40,40,137,94,existing,600.1478791845421,40,10,137,62,allocated,495.3783602203479,40,4,137,35,allocated,830.292228518296,40,11,137,66,allocated,607.6469012843598
41,41,32,138,72,existing,205.72413834724904,41,32,138,56,allocated,362.11586577032796,41,32,138,71,allocated,135.52130032569463,41,38,138,90,existing,276.7105081473754,41,39,138,68,existing,332.8534555647196,41,10,138,62,allocated,548.3976028904668,41,40,138,94,existing,547.1286365144233,41,4,138,35,allocated,883.311471188415,41,11,138,66,allocated,554.6276586142409
42,42,34,143,77,existing,241.57745585906088,42,34,143,153,allocated,93.37415681202808,42,34,143,153,allocated,93.37415681202808,42,4,143,35,allocated,110.70835874653542,42,40,143,94,existing,319.6254523173583,42,11,143,66,allocated,347.13270735744146,42,10,143,62,allocated,493.2612633657116,42,39,143,68,existing,532.9134919416136,42,38,143,90,existing,873.0452863936295
43,43,34,144,77,existing,174.6093285968941,43,34,144,153,allocated,65.05631748691462,43,34,144,6,allocated,39.18168380945427,43,4,144,35,allocated,47.72211555240727,43,40,144,94,existing,353.9697128828384,43,11,144,66,allocated,450.44344336402116,43,39,144,68,existing,568.244893832542,43,38,144,90,existing,907.3895469591096,43,10,144,62,allocated,596.5719993722913
